category,activity,task_name,task_class,description,steps,default_instruction,base_class,source_file
restocking_supplies,Restocking Supplies,Restock Canned Food,RestockCannedFood,Simulates the task of restocking canned food in a cabinet.,1. Take the new canned food from the counter 2. Place the new canned food in the cabinet 3. Take the old canned food from the cabinet 4. Place the old canned food on the counter,"Restock the canned food cabinet by taking the new fresh canned food from the counter and placing it in the cabinet. Then, take the old canned food from the cabinet and place it on the counter.",Kitchen,composite/restocking_supplies/restock_canned_food.py
restocking_supplies,Restocking Supplies,Restock Pantry,RestockPantry,Simulates the task of organizing cans when restocking them.,Pick the cans from the counter and place them on the side of the cabinet that already has a can.,Pick the cans from the counter and place them in their designated side in the cabinet.,Kitchen,composite/restocking_supplies/restock_pantry.py
restocking_supplies,Restocking Supplies,Restock Sink Supplies,RestockSinkSupplies,Simulates the task of restocking the sink area with a sponge and a soap dispenser.,1. Place the sponge and soap dispenser on the counter and next to the sink. 2. Ensure the soap dispenser is upright.,Restock the sink supplies by placing the sponge and soap dispenser on the counter and next to the sink. Make sure the soap dispenser is upright.,ManipulateDrawer,composite/restocking_supplies/restock_sink_supplies.py
restocking_supplies,Restocking Supplies,Stocking Breakfast Foods,StockingBreakfastFoods,Simulates the task of restocking breakfast foods.,Restock two packaged foods from the counter to the cabinet.,Pick the {obj_name_1} and {obj_name_2} from the counter and place them in the cabinets closest to them.,Kitchen,composite/restocking_supplies/stocking_breakfast_foods.py
sanitizing_cutting_board,Sanitizing Cutting Board,Clear Cutting Board,RemoveCuttingBoardItems,Simulates the task of clearing items from a cutting board for cleaning the board.,Remove two food items from the cutting board to prepare for cutting board for cleaning.,Remove the {vegetable_lang} and {meat_lang} from the cutting board to prepare it for cleaning.,Kitchen,composite/sanitizing_cutting_board/remove_cutting_board_items.py
sanitizing_cutting_board,Sanitizing Cutting Board,Rinse Cutting Board,RinseCuttingBoard,Simulates the task of rinsing a cutting board under hot water.,"Turn on the sink and ensure the water is running hot. After 100 timesteps of rinsing, turn off the sink.",,Kitchen,composite/sanitizing_cutting_board/rinse_cutting_board.py
sanitizing_cutting_board,Sanitizing Cutting Board,Sanitize Prep Cutting Board,SanitizePrepCuttingBoard,Simulates the task of preparing cleaning supplies for sanitizing a cutting board.,1. Grab the spray bottle from the cabinet and place it next to the cutting board. 2. Grab the dish brush from next to the sink and place it next to the cutting board.,,Kitchen,composite/sanitizing_cutting_board/sanitize_prep_cutting_board.py
sanitizing_cutting_board,Sanitizing Cutting Board,Scrub Cutting Board,ScrubCuttingBoard,Simulates scrubbing a cutting board using a sponge in a circular motion to ensure thorough cleaning and removal of food particles.,"1. Pick up the sponge from the counter. 2. Scrub the cutting board. 3. Once the scrubbing is complete, place the sponge down.",,Kitchen,composite/sanitizing_cutting_board/scrub_cutting_board.py
sanitizing_surface,Sanitizing Surface,Arrange Sink Sanitization: task for preparing cleaning supplies near the sink,ArrangeSinkSanitization,Simulates the preparation of cleaning supplies for sink sanitization by grabbing a sponge and dishbrush from the cabinet and placing them next to the sink.,1. Pick up the sponge and dishbrush from the cabinet 2. Place them on the counter next to the sink,Place the sponge and dishbrush next to the sink on the counter.,Kitchen,composite/sanitizing_surface/arrange_sink_sanitization.py
sanitizing_surface,Sanitize Surface,Clean Microwave,CleanMicrowave,Simulates the preparation for cleaning the microwave.,"Open the microwave, pick the sponge from the counter and place it in the microwave.",Place the sponge inside the microwave to prepare for sanitizing.,Kitchen,composite/sanitizing_surface/clean_microwave.py
sanitizing_surface,Sanitize Surface,Countertop Cleanup,CountertopCleanup,Simulates the task of cleaning the countertop by organizing items into their proper storage locations.,1. Place the utensil from the counter into the drawer 2. Place the receptacle from the counter into the cabinet 3. Place the bowl of food from the counter into the fridge,,Kitchen,composite/sanitizing_surface/countertop_cleanup.py
sanitizing_surface,Sanitize Surface,Prep For Sanitizing,PrepForSanitizing,Simulates the preparation for sanitizing the surface.,Pick the cleaners from the cabinet and place it on the counter.,Pick the {obj1_name} and {obj2_name} from the cabinet and place them on the counter.,Kitchen,composite/sanitizing_surface/prep_for_sanitizing.py
sanitizing_surface,Sanitize Surfaces,Sanitize Sink with Sponge Sweep,SanitizeSink,Simulates sweeping a sponge across the sink to sanitize.,"1. Pick up the sponge from the counter. 2. Sweep the sponge along the sink's interior in long strokes for at least 5 timesteps. 3. When finished, drop the sponge.",,Kitchen,composite/sanitizing_surface/sanitize_sink.py
sanitizing_surface,Sanitize Surfaces,Wipe Table,WipeTable,Simulates wiping the counter using a sponge by pressing it against the surface.,"1. Pick up the sponge from the counter. 2. Wipe the counter by pressing it against the surface. 3. Once the wiping is complete, place the sponge down.",,Kitchen,composite/sanitizing_surface/wipe_table.py
sauteing_vegetables,Sauteing Vegetables,Adjust Heat,AdjustHeat,Simulates the task of adjusting the stove's heat while cooking.,"1) Place the vegetables in the pan. 2) Identify the correct stove burner then turn the burner knob to adjust the heat from ""off"" to ""medium"".",,Kitchen,composite/sauteing_vegetables/adjust_heat.py
sauteing_vegetables,Sauteing Vegetables,Add Butter to the Pan,ButterOnPan,Simulates the task of picking up butter from a plate on the counter and placing it into a pan on the stove.,1. Identify the plate with butter on the counter. 2. Pick up the butter. 3. Place the butter into the pan on the stove. 4. Turn on the burner for the pan on the stove.,,Kitchen,composite/sauteing_vegetables/butter_on_pan.py
sauteing_vegetables,Sauteing Vegetables,Place Whole Vegetables Evenly,PlaceVegetablesEvenly,"Simulates the task of carefully arranging whole vegetables inside a pan on the stove, ensuring that they are evenly distributed for consistent heat exposure.",1. Pick up whole vegetables from the counter. 2. Place them inside the pan on the stove. 3. Ensure that the vegetables are inside the pan and do not overlap.,,Kitchen,composite/sauteing_vegetables/place_vegetables_evenly.py
sauteing_vegetables,Sauteing Vegetables,Pre-Heating Pot for Perfect Sauté,PreheatPot,Simulates pre-heating the pot before adding vegetables.,"1. Twist the stove knob to turn on the correct burner for the pot on the stove. 2. Wait for at least 500 timesteps for the pot to heat up. 3. After heating, add vegetables to the pot.",,Kitchen,composite/sauteing_vegetables/preheat_pot.py
sauteing_vegetables,Sauteing Vegetables,Shake the Pan to Move the Vegetable,ShakePan,Simulates the task of gripping the pan's handle and shaking it lightly to roll and move the vegetable around.,1. Grip the pan handle securely. 2. Shake the pan to move the vegetable for 25 timesteps. 3. Put pan back down on stove.,,Kitchen,composite/sauteing_vegetables/shake_pan.py
sauteing_vegetables,Sauteing Vegetables,Stir the Vegetables,StirVegetables,Simulates the task of retrieving a spatula from the counter and using it to stir vegetables in a pot.,1. Retrieve the spatula from the counter. 2. Use the spatula to simulate stirring the vegetables inside the pot. 3. Stir the vegetables for 5 timesteps.,,Kitchen,composite/sauteing_vegetables/stir_vegetables.py
sauteing_vegetables,Sauteing Vegetables,Tilt the Pan to Move the Vegetable,TiltPan,Simulates the task of gripping the pan's handle and tilting it lightly to slide the vegetables around.,1. Grip the pan handle securely. 2. Tilt the pan at an angle to move the item for 12 timesteps. 3. Return the pan to its original position on the stove.,,Kitchen,composite/sauteing_vegetables/tilt_pan.py
seasoning_food,Seasoning Food,Lemon Seasoning Fish,LemonSeasoningFish,Simulates the task of retrieving a lemon from the fridge and placing it on a cutting board with a fish.,"Open the refrigerator, pick up the lemon, and place it on the cutting board with the fish.",Retrieve a lemon from the fridge and place it on the cutting board with the fish.,Kitchen,composite/seasoning_food/lemon_seasoning_fish.py
seasoning_food,Seasoning Food,Seasoning Steak,SeasoningSteak,Simulates the task of preparing salt or pepper to season a steak on a plate.,Retrieve shaker from cabinet and place it beside the steak on a plate.,Retrieve the shaker from the cabinet and place it next the steak on a plate on the dining table.,Kitchen,composite/seasoning_food/seasoning_steak.py
seasoning_food,Seasoning Food,Set Up Spice Station,SetUpSpiceStation,Simulates the task of organizing spices neatly near the stove.,Pick up spice bottles in the cabinet. Place them neatly upright near the stove for easy access.,"Collect the {spice}, {bottle}, and {shaker} from the cabinet and place them next to the stove.",Kitchen,composite/seasoning_food/setup_spice_station.py
serving_beverages,Serving Beverages,Deliver Straw,DeliverStraw,Simulates the task of delivering a straw to a glass cup on the dining counter.,1. Take a straw from the drawer. 2. Place the straw inside the glass cup on the dining counter.,Take a straw from the drawer in front and place it inside the glass cup on the dining counter.,Kitchen,composite/serving_beverages/deliver_straw.py
serving_beverages,Serving Beverages,Match Cup and Drink,MatchCupAndDrink,Simulates the task of matching drinks with appropriate cups on the dining counter.,1. There is a wine glass and cup on the dining counter. 2. There are wine and juice bottles on the counter next to the stove. 3. Bring the wine bottle next to the wine glass. 4. Bring the juice bottle next to the cup.,,Kitchen,composite/serving_beverages/match_cup_and_drink.py
serving_beverages,Serving Beverages,Prepare Cocktail Station,PrepareCocktailStation,Simulates the task of preparing a cocktail station on the dining counter.,1. There is a bowl on the dining counter. 2. Grab a lemon wedge from the fridge. 3. Place the lemon wedge on the dining counter with the bowl. 4. Get a liquor and glass cup from the cabinet. 5. Place the liquor and glass cup in the same area as the bowl and lemon wedge.,,Kitchen,composite/serving_beverages/prepare_cocktail_station.py
serving_beverages,Serving Beverages,Prepare Drink Station,PrepareDrinkStation,Simulates the task of preparing a drink station on the dining counter.,"1. There is a tray on the dining counter. 2. Grab a cup, mug, and pitcher from the cabinet. 3. Place the cup and mug on the tray. 4. Place the pitcher next to the tray within a 0.3 xy distance.",,Kitchen,composite/serving_beverages/prepare_drink_station.py
serving_beverages,Serving Beverages,Serve Meal Juice,ServeMealJuice,Simulates the process of serving orange juice glasses next to plates of food on the dining counter for a meal.,1. Pick up orange juice glasses from the counter. 2. Place one orange juice glass next to each plate on the dining counter.,,Kitchen,composite/serving_beverages/serve_meal_juice.py
serving_beverages,Serving Beverages,Setup Soda Bowl,SetupSodaBowl,Simulates the task of setting up a bowl with ice on the dining counter and adding sodas from the fridge.,1. There is a bowl on the dining counter with ice in it. 2. Open the fridge and grab 2 sodas. 3. Place both sodas inside the bowl with ice.,"Open the fridge, grab two sodas, and place both sodas inside the bowl with ice on the dining counter.",Kitchen,composite/serving_beverages/setup_soda_bowl.py
serving_food,Serving Food,Alcohol Serving Prep,AlcoholServingPrep,Simulates the task of serving alcohol.,Move the alcohol and the cup from the cabinet to the dining table. Restricted to layouts which have a dining table (long counter area with stools).,,Kitchen,composite/serving_food/alcohol_serving_prep.py
serving_food,Serving Food,Dessert Upgrade,DessertUpgrade,Simulates the task of serving dessert.,Move the dessert items from the plate to the tray.,Move the dessert items from the plates to the tray.,Kitchen,composite/serving_food/dessert_upgrade.py
serving_food,Serving Food,Pan Transfer,PanTransfer,Simulates the task of transferring vegetables from a pan to a plate.,"Pick up the pan and dump the vegetables in it onto the plate. Then, return the pan to the stove.",,Kitchen,composite/serving_food/pan_transfer.py
serving_food,Serving Food,Place Food In Bowls,PlaceFoodInBowls,Simulates the task of placing food in bowls.,"Pick up two bowls and place them on the counter. Then, pick up two food items and place them in the bowls.",,Kitchen,composite/serving_food/place_food_in_bowls.py
serving_food,Serving Food,Prepare Soup Serving,PrepareSoupServing,Simulates the task of serving soup.,"Move the ladle from the cabinet to the pot. Then, close the cabinet.",Open the cabinet and move the ladle to the pot. Then close the cabinet.,Kitchen,composite/serving_food/prepare_soup_serving.py
serving_food,Serving Food,Serve Steak,ServeSteak,Simulates the task of serving steak.,"Pick up the pan with the steak in it and place it on the dining table. Then, place the steak on the plate. Restricted to layouts which have a dining table (long counter area with stools).",,Kitchen,composite/serving_food/serve_steak.py
setting_the_table,Setting The Table,Align Silverware Properly,AlignSilverware,Simulates the task of arranging a fork and a spoon in the correct order next to a plate on the dining table.,1) Identify the fork and the spoon near the plate. 2) Place the fork on the left of the plate. 3) Place the spoon on the right of the plate.,,Kitchen,composite/setting_the_table/align_silverware.py
setting_the_table,Setting The Table,Arrange Bread Basket,ArrangeBreadBasket,Simulates the task of arranging the bread basket.,Pick the bread from the cabinet and place it in the basket. Then move the basket to the dining counter. Restricted to layouts which have a dining table (long counter area with stools).,,Kitchen,composite/setting_the_table/arrange_bread_basket.py
setting_the_table,Setting The Table,Arrange Bread Bowl,ArrangeBreadBowl,Simulates the process of placing a bowl of bread on the dining counter.,1. Pick up the heated bread from the toaster oven. 2. Place the bread in the bowl next to the toaster oven. 3. Move the bowl with the bread items to the dining counter.,,Kitchen,composite/setting_the_table/arrange_bread_bowl.py
setting_the_table,Setting The Table,Arrange Drinkware,ArrangeDrinkware,Simulates the task of arranging drinkware for serving beverages.,1. Pick up the pitcher from the counter next to the sink. 2. Place the pitcher on the dining counter. 3. Pick up the cup from the counter next to the sink. 4. Place the cup on the dining counter.,Place the pitcher and cup on the dining counter for serving.,Kitchen,composite/setting_the_table/arrange_drinkware.py
setting_the_table,Setting The Table,Beverage Organization,BeverageOrganization,Simulates the task of organizing beverages.,Move the drinks to the dining counter. Restricted to layouts which have a dining table (long counter area with stools).,Move the drinks to the dining counter.,Kitchen,composite/setting_the_table/beverage_organization.py
setting_the_table,Setting The Table,Date Night,DateNight,Simulates the task of setting the table for a date night.,Pick up the decoration and the alcohol from the cabinet and move them to the dining counter. Restricted to layouts which have a dining table (long counter area with stools).,Get the {decoration_name} and the {alcohol_name} from the cabinet and move them to the dining counter.,Kitchen,composite/setting_the_table/date_night.py
setting_the_table,Setting The Table,Seasoning Spice Setup,SeasoningSpiceSetup,Simulates the task of setting the table with seasoning and spices.,Move the seasoning and spices from the cabinet directly in front to the dining counter. Restricted to layouts which have a dining table (long counter area with stools).,Move the {condiment1_name} and {condiment2_name} from the cabinet to the dining counter.,Kitchen,composite/setting_the_table/seasoning_spice_setup.py
setting_the_table,Setting The Table,Set Bowls For Soup,SetBowlsForSoup,Simulates the task of setting the table with bowls for soup.,Move the bowls from the cabinet to the plates on the dining table. Restricted to layouts which have a dining table (long counter area with stools).,Move the bowls from the cabinet to the plates on the dining table.,Kitchen,composite/setting_the_table/set_bowls_for_soup.py
setting_the_table,Setting The Table,Place Bowl in Front of Each Stool,SetupBowls,Simulates the task of placing a bowl in front of each stool.,1) Pick up the bowls from the cabinet. 2) Place a bowl in front of each stool.,Pick up the bowls from the cabinet and place each bowl in front of a stool on the dining counter.,Kitchen,composite/setting_the_table/setup_bowls.py
setting_the_table,Setting The Table,Place Butter on the Table,SetupButterPlate,Simulates the task of retrieving butter and a butter knife and placing it on a plate on the dining table.,1. Open the refrigerator and pick up the butter. 2. Place the butter on the plate on the dining table. 3. Place the butter knife near the plate on the dining table.,,Kitchen,composite/setting_the_table/setup_butter_plate.py
setting_the_table,Setting The Table,Set Up a Fruit Bowl for the Table,SetupFruitBowl,Simulates the task of gathering fruits from the refrigerator and placing them in a bowl on the dining counter.,1) Retrieve the fruits from the fridge. 2) Place the fruits into the bowl.,Retrieve the {fruit1_lang} and {fruit2_lang} from the fridge and place them into the bowl on the dining table.,Kitchen,composite/setting_the_table/setup_fruit_bowl.py
setting_the_table,Setting The Table,Set Up Wine Glasses,SetupWineGlasses,Simulates the task of placing a wine glass next to each plate on the dining counter.,1) Pick up the wine glasses from the cabinet by the sink. 2) Place a wine glass on the right or left side of each plate.,,Kitchen,composite/setting_the_table/setup_wine_glasses.py
setting_the_table,Setting The Table,Size Sorting,SizeSorting,Simulates the task of stacking objects by size.,Stack the objects from largest to smallest.,Stack the {stackable_cat}s from largest to smallest.,Kitchen,composite/setting_the_table/size_sorting.py
simmering_sauces,Simmering Sauces,Turn Off Simmered Sauce Heat,TurnOffSimmeredSauceHeat,Simulates the task of turning off the heat for a sauce once it is simmered.,Turn off the stove knob once the sauce has simmered.,Wait until the marinara sauce is simmered to a deep red color and then turn off the stove.,Kitchen,composite/simmering_sauces/turn_off_simmered_sauce_heat.py
slicing_meat,"""Slicing Meat""",Clean Board,CleanBoard,Simulates the act of cleaning the cutting board after cutting meat.,Pick the knife and place it in the sink. Place the cutting board in the sink. Place the spray from the cabinet right above the counter on the counter.,Move the cutting board and knife to the sink. Then move spray from the {self.cabinet.nat_lang} to the counter.,Kitchen,composite/slicing_meat/clean_board.py
slicing_meat,Slicing Meat,Retrieve Meat,RetrieveMeat,Simulates the task of retrieving meat from the fridge and placing it on the cutting board.,1. Pick the meat from the fridge. 2. Place the meat on the cutting board.,Retrieve the {meat_lang} from the fridge and place it on the cutting board.,Kitchen,composite/slicing_meat/retrieve_meat.py
slicing_meat,Slicing Meat,Set Up Cutting Station,SetUpCuttingStation,Simulates the task of setting up a cutting station.,1. Move the meat to the cutting board. 2. Pick the knife to the cutting board from the drawer.,Pick up the knife from the drawer and place it on the cutting board. Then place the meat from the plate to the cutting board.,Kitchen,composite/slicing_meat/set_up_cutting_station.py
slow_cooking,Slow Cooking,Add To Soup Pot,AddToSoupPot,"Simulates the task of adding vegetables to a simmering soup pot by removing the lid, adding two vegetables, and placing the lid back to continue slow cooking.",1. Remove the lid from the simmering saucepan 2. Add two vegetables to the saucepan 3. Place the lid back to continue slow cooking,,Kitchen,composite/slow_cooking/add_to_soup_pot.py
slow_cooking,Slow Cooking,Begin Slow Cooking,BeginSlowCooking,"Simulates the task of starting the slow cooking process for broth by setting the burner to low heat, and covering it with a lid.",1. Set the stove burner to low heat 2. Place the lid on the saucepan to begin slow cooking,,Kitchen,composite/slow_cooking/begin_slow_cooking.py
slow_cooking,Slow Cooking,Stop Slow Cooking,StopSlowCooking,"Simulates the task of finishing the slow cooking process by turning off the heat and removing the lid from a saucepan, making the broth ready to serve.",1. Turn off the stove burner to stop the cooking 2. Remove the lid from the saucepan and place it on the counter,Turn off the stove burner and place the saucepan lid on the counter to prepare serving the broth.,Kitchen,composite/slow_cooking/stop_slow_cooking.py
snack_preparation,Snack Preparation,Bread And Cheese,BreadAndCheese,Simulates the preparation of a bread and cheese snack.,"Pick the bread and cheese, place them on the cutting board.",Place the bread and cheese on the cutting board.,Kitchen,composite/snack_preparation/bread_and_cheese.py
snack_preparation,Snack Preparation,Cereal And Bowl,CerealAndBowl,Simulates the preparation of a cereal snack.,Pick the cereal and bowl from the cabinet and place them on the counter.,,Kitchen,composite/snack_preparation/cereal_and_bowl.py
snack_preparation,Snack Preparation,Make Fruit Bowl,MakeFruitBowl,Simulates the preparation of a fruit bowl snack.,Pick the fruit from the cabinet and place them in the bowl.,,Kitchen,composite/snack_preparation/make_fruit_bowl.py
snack_preparation,Snack Preparation,Veggie Dip Prep,VeggieDipPrep,Simulates the preparation of a vegetable dip snack.,Place the two vegetables and a bowl onto the tray for setting up a vegetable dip station.,Place the two vegetables and bowl onto the tray for setting up a vegetable dip station.,Kitchen,composite/snack_preparation/veggie_dip_prep.py
snack_preparation,Snack Preparation,Yogurt Delight Prep,YogurtDelightPrep,Simulates the preparation of a yogurt delight snack.,Place the yogurt and fruit onto the counter.,Place the yogurt and fruit{,Kitchen,composite/snack_preparation/yogurt_delight_prep.py
sorting_ingredients,Sorting Ingredients,Separate Raw Ingredients,SeparateRawIngredients,Simulates the task of separating raw ingredients to avoid cross-contamination by placing meat on a cutting board and vegetables in a bowl.,1. Pick up meat ingredient(s) from the fridge 2. Place meat on the cutting board 3. Pick up vegetable ingredient(s) from the fridge 4. Place vegetable(s) in the bowl,Place the meat/seafood item(s) on the cutting board and the vegetable item(s) in the bowl to avoid cross-contamination.,Kitchen,composite/sorting_ingredients/separate_raw_ingredients.py
sorting_ingredients,Sorting Ingredients,Sort Breakfast Ingredients,SortBreakfastIngredients,Simulates the task of organizing breakfast items by placing jam next to bread and cereal next to milk on the dining counter.,1. Pick up jam from the counter next to cabinet 2. Place jam next to the plate of bread on dining counter 3. Pick up cereal from the counter next to cabinet 4. Place cereal next to the carton of milk on dining counter,Place the jam next to the plate of bread and the cereal next to the carton of milk on the dining counter.,Kitchen,composite/sorting_ingredients/sort_breakfast_ingredients.py
steaming_food,Steaming Food,Multistep Steaming,MultistepSteaming,Simulates the task of steaming a vegetable.,"Turn on the sink. Then move the vegetable from the counter to the sink. Turn of the sink. Move the vegetable from the sink to the pot next to the stove. Finally, move the pot to the stove burner.",,Kitchen,composite/steaming_food/multistep_steaming.py
steaming_food,Steaming Food,Steam Fish,SteamFish,Simulates the task of steaming fish in a pan with soy sauce.,1. Place the fish on the pan 2. Turn the stove knob on,Place the fish on the pan with soy sauce and turn the stove knob on to start steaming.,Kitchen,composite/steaming_food/steam_fish.py
steaming_food,Steaming Food,Steam In Microwave,SteamInMicrowave,Simulates the task of steaming a vegetable in a microwave.,Pick the vegetable from the sink and place it in the bowl. Then pick the bowl and place it in the microwave. Then close the microwave door and press the start button.,,Kitchen,composite/steaming_food/steam_in_microwave.py
steaming_vegetables,Steaming Vegetables,Prepare Veggies For Steaming,PrepareVeggiesForSteaming,Simulates the task of rinsing vegetables and preparing them for steaming.,1. Rinse the vegetables in the colander under running water for 50 timesteps 2. Place the colander with vegetables next to the stove,,Kitchen,composite/steaming_vegetables/prepare_veggies_for_steaming.py
steaming_vegetables,Steaming Vegetables,Remove Steamed Vegetables,RemoveSteamedVegetables,Simulates the task of removing steamed vegetables and placing them in a plate.,1. Take the steamed vegetables out of the saucepan 2. Place the vegetables in a plate on the counter,The {vegetables_text} are done steaming. Take them out of the saucepan and place them on the plate on the counter.,Kitchen,composite/steaming_vegetables/remove_steamed_vegetables.py
steaming_vegetables,Steaming Vegetables,Steam Veggies With Water,SteamVeggiesWithWater,Simulates the task of placing vegetables in a saucepan with water and putting the lid on for steaming.,1. Pick up two different vegetables from the plate 2. Place the vegetables in the saucepan with water 3. Put the saucepan lid on,Place the {vegetables_text} in the saucepan with water and put the lid on to begin steaming the vegetables.,Kitchen,composite/steaming_vegetables/steam_veggies_with_water.py
storing_leftovers,Storing Leftovers,Freeze Cooked Food,FreezeCookedFood,Simulates the process of storing cooked food into the freezer for long-term storage.,,,Kitchen,composite/storing_leftovers/freeze_cooked_food.py
storing_leftovers,Storing Leftovers,Prepare Storing Leftovers,PrepareStoringLeftovers,Simulates the process of retrieving storage supplies (tupperware and aluminum foil) from a cabinet and placing them on the dining counter near leftover food to prepare for storing leftovers.,1. Retrieve the tupperware from the cabinet. 2. Retrieve the aluminum foil from the cabinet. 3. Place both items on the dining counter near the plate with leftover food.,,Kitchen,composite/storing_leftovers/prepare_storing_leftovers.py
storing_leftovers,Storing Leftovers,Store Dumplings,StoreDumplings,Simulates the process of storing dumplings from both a pan and a plate into containers on the dining counter.,,,Kitchen,composite/storing_leftovers/store_dumplings.py
storing_leftovers,Storing Leftovers,Store Leftovers by Type,StoreLeftoversByType,"Simulates the process of storing leftover food items (meat and vegetable) from plates on the dining counter into the fridge, ensuring meats and vegetables are stored on different racks at the same level as existing items of the same type.",,,Kitchen,composite/storing_leftovers/store_leftovers_by_type.py
storing_leftovers,Storing Leftovers,Store Leftovers in Bowl,StoreLeftoversInBowl,Simulates the process of storing leftover food items (chicken drumstick and a vegetable) from plates on the dining counter into a bowl and placing the bowl in the fridge.,,,Kitchen,composite/storing_leftovers/store_leftovers_in_bowl.py
tidying_cabinets_and_drawers,Tidying Cabinets And Drawers,Drawer Utensil Sort,DrawerUtensilSort,Simulates the task of placing utensils in the drawer.,Open the drawer and place the utensils inside it.,{self.behavior} the {self.drawer_side} drawer and place the utensils inside it.,ManipulateDrawer,composite/tidying_cabinets_and_drawers/drawer_utensil_sort.py
tidying_cabinets_and_drawers,Tidying Cabinets And Drawers,Organize Cleaning Supplies,OrganizeCleaningSupplies,Simulates the task of preparing to clean the sink.,Open the cabinet. Pick the cleaner and place it next to the sink. Then close the cabinet.,,Kitchen,composite/tidying_cabinets_and_drawers/organize_cleaning_supplies.py
tidying_cabinets_and_drawers,Tidying Cabinets and Drawers,Place Breakfast Items Away,PlaceBreakfastItemsAway,Simulates the task of cleaning up after breakfast by placing breakfast items from the dining counter back into cabinet storage.,1. Pick up breakfast items from the dining counter 2. Place them in the cabinet for storage,,Kitchen,composite/tidying_cabinets_and_drawers/place_breakfast_items_away.py
tidying_cabinets_and_drawers,Tidying Cabinets And Drawers,Snack Sorting,SnackSorting,Simulates the task of placing snacks in the bowl.,Place the bar in the bowl and close the drawer.,Place the bar in the bowl and close the drawer.,ManipulateDrawer,composite/tidying_cabinets_and_drawers/snack_sorting.py
tidying_cabinets_and_drawers,Tidying Cabinets And Drawers,Utensil Shuffle,UtensilShuffle,Simulates the task of reorganizing the pantry by only placing the utensils in the drawer.,Place the utensils in the drawer. Leave the other object(s) in the cabinet.,Pick and place the utensils into the open drawer.,Kitchen,composite/tidying_cabinets_and_drawers/utensil_shuffle.py
toasting_bread,Toasting Bread,Get Toasted Bread,GetToastedBread,,"1. Pull the toaster lever down and wait for the toaster to finish toasting the bread. 2. Once the lever pops up, pull the bread out. 3. Place the bread on the plate on the dining counter.",,Kitchen,composite/toasting_bread/get_toasted_bread.py
toasting_bread,Toasting Bread,PJ Sandwich Preparation,PJSandwichPrep,Simulates the task of preparing toasted bread for a peanut butter and jelly sandwich.,1. Place the toasted bread in a bowl 2. Carry the bowl to the dining counter and place it next to the peanut butter and jelly jars,,Kitchen,composite/toasting_bread/pj_sandwich_prep.py
toasting_bread,Toasting Bread,Serve Warm Croissant,ServeWarmCroissant,,1. Open the toaster oven door. 2. Pull out the rack. 3. Pick up the croissant and place it on the plate.,Take out the warm croissant from the {rack_pos} rack of the toaster oven and place it on the plate.,Kitchen,composite/toasting_bread/serve_warm_croissant.py
toasting_bread,Toasting Bread,ToastBagel,ToastBagel,,1. Open the toaster oven door. 2. Pick up the bagel from the plate on the counter. 3. Place the bagel on the toaster oven rack. 4. Close the oven door fully. 5. Set the timer to start toasting.,"Pick up the bagel from the plate, place it on the toaster oven rack, close the door, and set the timer.",Kitchen,composite/toasting_bread/toast_bagel.py
toasting_bread,Toasting Bread,Warm-up of Pastries,ToastBaguette,,1. Slide the toaster oven door out. 2. Pick up the baguette from the plate on the counter. 3. Place it on the toaster oven rack. 4. Close the toaster oven door fully. 5. Set the temperature to warm (lowest setting).,,Kitchen,composite/toasting_bread/toast_baguette.py
toasting_bread,Toasting Bread,ToastOnCorrectRack,ToastOnCorrectRack,,1. Open the toaster oven door. 2. Pick up the bread and place it on the specified rack inside the toaster oven. 3. Pick up the meat and place it on the specified rack inside the toaster oven.,,Kitchen,composite/toasting_bread/toast_on_correct_rack.py
toasting_bread,Toasting Bread,Toast One Slot Pair,ToastOneSlotPair,Simulates the task of troubleshooting a toaster with a broken slot-pair by moving bread to the working slot-pair and toasting both slices together.,1. Identify which slot-pair is broken and which is working 2. Pick the bread slice from the broken slot-pair 3. Place it in the working slot-pair alongside the existing bread slice 4. Press the lever to toast both slices together,,Kitchen,composite/toasting_bread/toast_one_slot_pair.py
washing_dishes,Washing Dishes,Change Water Temperature,AdjustWaterTemperature,Simulates the process of adjusting the water temperature in the sink.,1) Determine the current water temperature using the sink handle state. 2) Adjust the sink handle to the opposite temperature state. 3) Make sure the water is still running.,,Kitchen,composite/washing_dishes/change_water_temp.py
washing_dishes,Washing Dishes,Clear the Sink,ClearSink,Simulates the process of moving food items out of the sink and moving dishes to the sink.,1. Remove food items from the sink. 2. Move the dishes from the counter to the sink to prepare for washing.,,Kitchen,composite/washing_dishes/clear_sink.py
washing_dishes,Washing Dishes,Collect Washing Supplies: a composite task for Washing Dishes activity,CollectWashingSupplies,Locate and retrieve cleaning supplies from the cabinet and place them within reach of the sink for washing.,1. Locate the cabinet containing the cleaning items. 2. Retrieve the first cleaning item and place it near the sink. 3. Retrieve the second cleaning item and place it near the sink.,,Kitchen,composite/washing_dishes/collect_washing_supplies.py
washing_dishes,Washing Dishes,Divide Basins: a composite task for Washing Dishes activity,DivideBasins,"One object begins in the right basin, representing an item that is already drying. Another object begins on the counter beside the sink and must be moved to the left basin for washing.",,,Kitchen,composite/washing_dishes/divide_basins.py
